Date,Price,Open,High,Low,Vol.,Change %
1/27/2014,11054.80,11235.10,11295.20,10874.60,4.27M,-2.13%
2/6/2014,10574.20,10934.70,10994.80,10574.20,1.26M,-4.35%
2/7/2014,9973.40,10454.00,10514.10,9913.30,3.93M,-5.68%
2/10/2014,10213.70,9913.30,10333.90,9733.10,5.33M,2.41%
2/11/2014,10153.60,10333.90,10333.90,10153.60,2.55M,-0.59%
2/12/2014,10093.50,10093.50,10153.60,10033.50,1.55M,-0.59%
2/13/2014,9973.40,10093.50,10153.60,9973.40,2.84M,-1.19%
2/14/2014,10093.50,10093.50,10213.70,9973.40,1.96M,1.20%
2/17/2014,10033.50,10153.60,10153.60,9973.40,1.55M,-0.59%
2/18/2014,9973.40,10033.50,10033.50,9973.40,2.45M,-0.60%
2/19/2014,9973.40,10033.50,10093.50,9913.30,3.93M,0.00%
2/20/2014,10153.60,10033.50,10333.90,9973.40,4.27M,1.81%
2/21/2014,10033.50,10093.50,10093.50,10033.50,1.19M,-1.18%
2/24/2014,10033.50,10093.50,10093.50,9973.40,1.10M,0.00%
2/25/2014,10033.50,9973.40,10033.50,9913.30,1.64M,0.00%
2/26/2014,10033.50,10033.50,10153.60,9973.40,1.84M,0.00%
2/27/2014,10153.60,10033.50,10454.00,10033.50,4.91M,1.20%
2/28/2014,10213.70,10093.50,10213.70,10093.50,1.52M,0.59%
3/3/2014,10033.50,10153.60,10213.70,10033.50,1.26M,-1.76%
3/4/2014,9973.40,9973.40,10033.50,9913.30,2.04M,-0.60%
3/5/2014,9973.40,10033.50,10093.50,9973.40,970.45K,0.00%
3/6/2014,9973.40,9973.40,10033.50,9913.30,1.01M,0.00%
3/7/2014,9973.40,9973.40,10033.50,9973.40,1.02M,0.00%
3/10/2014,10033.50,9973.40,10093.50,9973.40,1.26M,0.60%
3/11/2014,9973.40,9973.40,10033.50,9973.40,991.12K,-0.60%
3/12/2014,9913.30,9973.40,10033.50,9913.30,1.29M,-0.60%
3/13/2014,9913.30,9973.40,9973.40,9853.20,1.06M,0.00%
3/14/2014,9973.40,9973.40,10033.50,9853.20,1.22M,0.61%
3/17/2014,9973.40,9973.40,10033.50,9913.30,1.30M,0.00%
3/18/2014,10093.50,9973.40,10153.60,9913.30,2.86M,1.20%
3/19/2014,10454.00,10153.60,10454.00,10153.60,7.41M,3.57%
3/20/2014,10634.30,10514.10,10814.50,10514.10,4.38M,1.72%
3/21/2014,10514.10,10514.10,10694.40,10514.10,1.63M,-1.13%
3/24/2014,10574.20,10634.30,10814.50,10574.20,3.29M,0.57%
3/25/2014,10333.90,10634.30,10634.30,10333.90,2.70M,-2.27%
3/26/2014,10093.50,10394.00,10394.00,10033.50,2.67M,-2.33%
3/27/2014,10093.50,10153.60,10153.60,10033.50,1.35M,0.00%
3/28/2014,10213.70,10093.50,10213.70,10093.50,938.95K,1.19%
3/31/2014,10093.50,10273.80,10273.80,10093.50,1.10M,-1.18%
4/1/2014,10033.50,10153.60,10153.60,9973.40,2.24M,-0.59%
4/2/2014,10033.50,10033.50,10093.50,9913.30,1.60M,0.00%
4/3/2014,10093.50,10033.50,10153.60,9973.40,684.24K,0.60%
4/4/2014,10153.60,10153.60,10153.60,10033.50,800.97K,0.60%
4/7/2014,10093.50,10093.50,10153.60,10033.50,581.66K,-0.59%
4/8/2014,10033.50,10093.50,10153.60,10033.50,678.85K,-0.59%
4/10/2014,10033.50,10033.50,10093.50,10033.50,639.28K,0.00%
4/11/2014,9973.40,9973.40,10033.50,9913.30,882.62K,-0.60%
4/14/2014,10033.50,10033.50,10093.50,9973.40,545.20K,0.60%
4/15/2014,9913.30,9973.40,10033.50,9913.30,632.44K,-1.20%
4/16/2014,9612.90,9913.30,9913.30,9492.70,1.40M,-3.03%
4/17/2014,9673.00,9612.90,9853.20,9612.90,896.66K,0.63%
4/18/2014,9552.80,9673.00,9733.10,9552.80,1.01M,-1.24%
4/21/2014,9312.50,9552.80,9552.80,9252.40,745.09K,-2.52%
4/22/2014,9492.70,9252.40,9492.70,9192.30,696.69K,1.94%
4/23/2014,9492.70,9552.80,9552.80,9372.60,286.97K,0.00%
4/24/2014,9552.80,9432.70,9552.80,9432.70,379.30K,0.63%
4/25/2014,9432.70,9432.70,9612.90,9432.70,679.68K,-1.26%
4/28/2014,9432.70,9432.70,9492.70,9372.60,442.67K,0.00%
4/29/2014,9492.70,9432.70,9492.70,9432.70,267.23K,0.64%
5/5/2014,9372.60,9552.80,9552.80,9312.50,397.30K,-1.27%
5/6/2014,9132.30,9312.50,9372.60,9072.20,631.34K,-2.56%
5/7/2014,9312.50,9132.30,9372.60,9132.30,360.91K,1.97%
5/8/2014,8771.80,9192.30,9192.30,8711.70,2.00M,-5.81%
5/9/2014,8891.90,8651.60,8891.90,8651.60,406.61K,1.37%
5/12/2014,8411.30,8831.90,8831.90,8291.10,685.55K,-5.40%
5/13/2014,8471.40,8110.90,8531.50,8110.90,915.84K,0.71%
5/14/2014,8831.90,8411.30,8891.90,8411.30,623.37K,4.26%
5/15/2014,8531.50,8891.90,8891.90,8351.20,838.60K,-3.40%
5/16/2014,8771.80,8531.50,8771.80,8471.40,439.31K,2.82%
5/19/2014,8711.70,8651.60,8831.90,8651.60,470.79K,-0.69%
5/20/2014,8831.90,8711.70,8831.90,8651.60,239.33K,1.38%
5/21/2014,8952.00,8771.80,9012.10,8651.60,795.94K,1.36%
5/22/2014,8771.80,8952.00,8952.00,8771.80,306.86K,-2.01%
5/23/2014,8831.90,8831.90,8831.90,8711.70,215.08K,0.69%
5/26/2014,8771.80,8711.70,8831.90,8711.70,136.20K,-0.68%
5/27/2014,9012.10,8771.80,9012.10,8771.80,586.07K,2.74%
5/28/2014,8952.00,9012.10,9012.10,8891.90,532.99K,-0.67%
5/29/2014,8952.00,8891.90,9012.10,8891.90,556.97K,0.00%
5/30/2014,8891.90,8891.90,8952.00,8831.90,253.34K,-0.67%
6/2/2014,8771.80,8891.90,8891.90,8711.70,367.28K,-1.35%
6/3/2014,8711.70,8711.70,8831.90,8711.70,221.85K,-0.69%
6/4/2014,8711.70,8711.70,8771.80,8591.50,207.30K,0.00%
6/5/2014,8711.70,8711.70,8711.70,8591.50,72.24K,0.00%
6/6/2014,8771.80,8651.60,8771.80,8651.60,120.96K,0.69%
6/9/2014,8711.70,8771.80,8831.90,8651.60,213.43K,-0.69%
6/10/2014,8831.90,8711.70,8891.90,8651.60,284.98K,1.38%
6/11/2014,8831.90,8831.90,8831.90,8711.70,475.66K,0.00%
6/12/2014,8952.00,8831.90,8952.00,8831.90,598.33K,1.36%
6/13/2014,8952.00,8891.90,9012.10,8831.90,667.56K,0.00%
6/16/2014,8952.00,8952.00,9012.10,8891.90,452.62K,0.00%
6/17/2014,8952.00,8952.00,9012.10,8891.90,318.13K,0.00%
6/18/2014,8952.00,8952.00,9012.10,8891.90,562.29K,0.00%
6/19/2014,8952.00,8891.90,8952.00,8771.80,408.66K,0.00%
6/20/2014,8831.90,8891.90,8952.00,8831.90,179.40K,-1.34%
6/23/2014,8952.00,8831.90,8952.00,8831.90,277.49K,1.36%
6/24/2014,9012.10,8891.90,9012.10,8891.90,418.09K,0.67%
6/25/2014,9012.10,8952.00,9012.10,8891.90,371.45K,0.00%
6/26/2014,9072.20,8952.00,9192.30,8891.90,739.61K,0.67%
6/27/2014,9132.30,9012.10,9132.30,9012.10,388.98K,0.66%
6/30/2014,9132.30,9132.30,9132.30,9012.10,341.63K,0.00%
7/1/2014,9072.20,9072.20,9072.20,9012.10,494.95K,-0.66%
7/2/2014,9132.30,9072.20,9192.30,9012.10,856.34K,0.66%
7/3/2014,9132.30,9132.30,9192.30,9072.20,515.13K,0.00%
7/4/2014,9132.30,9132.30,9132.30,9072.20,272.21K,0.00%
7/7/2014,9012.10,9072.20,9132.30,9012.10,332.53K,-1.32%
7/8/2014,8891.90,9012.10,9072.20,8891.90,375.15K,-1.33%
7/9/2014,9012.10,8952.00,9072.20,8891.90,401.43K,1.35%
7/10/2014,8891.90,9012.10,9012.10,8891.90,454.17K,-1.33%
7/11/2014,8952.00,8952.00,8952.00,8891.90,154.35K,0.68%
7/14/2014,8891.90,8891.90,8952.00,8831.90,109.26K,-0.67%
7/15/2014,8952.00,8891.90,8952.00,8831.90,467.88K,0.68%
7/16/2014,8952.00,9012.10,9012.10,8952.00,468.97K,0.00%
7/17/2014,8952.00,8952.00,9012.10,8891.90,136.47K,0.00%
7/18/2014,9012.10,9012.10,9012.10,8952.00,457.61K,0.67%
7/21/2014,8952.00,8952.00,9012.10,8891.90,166.23K,-0.67%
7/22/2014,8891.90,8891.90,8952.00,8831.90,126.06K,-0.67%
7/23/2014,8831.90,8952.00,8952.00,8831.90,187.81K,-0.67%
7/24/2014,8891.90,8831.90,8952.00,8831.90,244.81K,0.68%
7/25/2014,9192.30,8891.90,9432.70,8891.90,2.29M,3.38%
7/28/2014,9192.30,9192.30,9252.40,9072.20,593.16K,0.00%
7/29/2014,9072.20,9252.40,9252.40,9072.20,319.12K,-1.31%
7/30/2014,9132.30,9072.20,9252.40,9012.10,1.78M,0.66%
7/31/2014,9132.30,9132.30,9192.30,9072.20,469.87K,0.00%
8/1/2014,9192.30,9132.30,9252.40,9132.30,535.03K,0.66%
8/4/2014,9432.70,9192.30,9492.70,9192.30,1.93M,2.62%
8/5/2014,9432.70,9432.70,9492.70,9372.60,961.29K,0.00%
8/6/2014,9372.60,9432.70,9432.70,9312.50,366.84K,-0.64%
8/7/2014,9372.60,9312.50,9432.70,9312.50,794.92K,0.00%
8/8/2014,9404.30,9531.40,9531.40,9277.30,1.18M,0.34%
8/11/2014,9213.70,9340.80,9404.30,9213.70,337.10K,-2.03%
8/12/2014,9150.20,9213.70,9213.70,9086.60,332.81K,-0.69%
8/13/2014,9213.70,9086.60,9213.70,9023.10,433.77K,0.69%
8/14/2014,9086.60,9150.20,9277.30,9086.60,344.15K,-1.38%
8/15/2014,9023.10,9150.20,9150.20,9023.10,266.09K,-0.70%
8/18/2014,8832.50,8959.50,9023.10,8768.90,950.23K,-2.11%
8/19/2014,8832.50,8832.50,8896.00,8832.50,452.82K,0.00%
8/20/2014,8896.00,8832.50,8896.00,8832.50,488.20K,0.72%
8/21/2014,9023.10,8959.50,9023.10,8832.50,626.10K,1.43%
8/22/2014,8832.50,9023.10,9023.10,8832.50,770.87K,-2.11%
8/25/2014,8832.50,8896.00,8896.00,8832.50,413.24K,0.00%
8/26/2014,8959.50,8896.00,8959.50,8832.50,483.61K,1.44%
8/27/2014,8832.50,8959.50,8959.50,8832.50,299.11K,-1.42%
8/28/2014,8896.00,8832.50,8896.00,8832.50,266.39K,0.72%
8/29/2014,9467.90,8896.00,9467.90,8832.50,2.75M,6.43%
9/3/2014,9340.80,9467.90,9595.00,9277.30,781.90K,-1.34%
9/4/2014,9213.70,9277.30,9404.30,9150.20,513.54K,-1.36%
9/5/2014,9150.20,9150.20,9213.70,9023.10,973.60K,-0.69%
9/8/2014,9023.10,9150.20,9150.20,9023.10,1.11M,-1.39%
9/9/2014,9023.10,9023.10,9086.60,8896.00,526.47K,0.00%
9/10/2014,8959.50,8959.50,9023.10,8896.00,332.10K,-0.70%
9/11/2014,8959.50,9023.10,9023.10,8896.00,276.30K,0.00%
9/12/2014,8959.50,8959.50,9023.10,8896.00,329.81K,0.00%
9/15/2014,8896.00,8959.50,9023.10,8832.50,516.77K,-0.71%
9/16/2014,8832.50,8896.00,8896.00,8768.90,623.92K,-0.71%
9/17/2014,8832.50,8832.50,8896.00,8768.90,572.13K,0.00%
9/18/2014,8832.50,8896.00,8896.00,8768.90,291.61K,0.00%
9/19/2014,8832.50,8832.50,8896.00,8768.90,296.93K,0.00%
