Date,Price,Open,High,Low,Vol.,Change %
1/27/2014,10379.9,10379.90,10502.70,10318.50,544.57K,0.00%
2/6/2014,10318.5,10318.50,10379.90,10195.60,956.13K,-0.59%
2/7/2014,10257,10257.00,10379.90,10195.60,739.88K,-0.60%
2/10/2014,10195.6,10195.60,10318.50,10134.20,1.47M,-0.60%
2/11/2014,10195.6,10257.00,10379.90,10134.20,1.86M,0.00%
2/12/2014,10257,10257.00,10318.50,10195.60,1.14M,0.60%
2/13/2014,10379.9,10318.50,10379.90,10257.00,1.71M,1.20%
2/14/2014,10379.9,10379.90,10502.70,10318.50,1.70M,0.00%
2/17/2014,10318.5,10379.90,10379.90,10257.00,1.05M,-0.59%
2/18/2014,10318.5,10318.50,10379.90,10195.60,2.26M,0.00%
2/19/2014,10257,10318.50,10379.90,10195.60,2.06M,-0.60%
2/20/2014,10379.9,10257.00,10687.00,10257.00,3.50M,1.20%
2/21/2014,10318.5,10379.90,10379.90,10195.60,678.98K,-0.59%
2/24/2014,10318.5,10379.90,10441.30,10257.00,686.17K,0.00%
2/25/2014,10257,10318.50,10379.90,10195.60,1.48M,-0.60%
2/26/2014,10441.3,10379.90,10564.10,10318.50,3.18M,1.80%
2/27/2014,10625.5,10502.70,10932.60,10441.30,6.65M,1.76%
2/28/2014,10809.8,10625.50,10809.80,10625.50,2.76M,1.73%
3/3/2014,10502.7,10748.40,10748.40,10441.30,1.97M,-2.84%
3/4/2014,10379.9,10441.30,10502.70,10257.00,1.68M,-1.17%
3/5/2014,10379.9,10441.30,10502.70,10318.50,915.61K,0.00%
3/6/2014,10379.9,10379.90,10441.30,10318.50,1.65M,0.00%
3/7/2014,10441.3,10379.90,10502.70,10318.50,1.61M,0.59%
3/10/2014,10441.3,10502.70,10502.70,10441.30,1.47M,0.00%
3/11/2014,10441.3,10502.70,10502.70,10379.90,1.60M,0.00%
3/12/2014,10318.5,10441.30,10441.30,10318.50,1.34M,-1.18%
3/13/2014,10318.5,10318.50,10379.90,10257.00,1.04M,0.00%
