Date,Price,Open,High,Low,Vol.,Change %
1/27/2014,15385,15385.00,15385.00,15231.00,381.39K,-0.98%
2/6/2014,16154,15538.00,16231.00,15385.00,683.29K,5.00%
2/7/2014,15846,16154.00,16231.00,15846.00,552.32K,-1.91%
2/10/2014,16000,15923.00,16000.00,15846.00,386.28K,0.97%
2/11/2014,15769,16000.00,16077.00,15769.00,689.08K,-1.44%
2/12/2014,15846,15769.00,15846.00,15615.00,538.33K,0.49%
2/13/2014,15769,16000.00,16000.00,15692.00,706.37K,-0.49%
2/14/2014,15846,15846.00,15846.00,15692.00,379.44K,0.49%
2/17/2014,15769,15385.00,15846.00,15308.00,1.14M,-0.49%
2/18/2014,16077,15846.00,16462.00,15769.00,1.02M,1.95%
2/19/2014,15923,16154.00,16154.00,15923.00,691.42K,-0.96%
2/20/2014,15846,15846.00,16077.00,15615.00,1.21M,-0.48%
2/21/2014,15846,15615.00,15923.00,15615.00,571.55K,0.00%
2/24/2014,15846,15923.00,15923.00,15692.00,375.22K,0.00%
2/25/2014,16846,15769.00,16923.00,15692.00,3.05M,6.31%
2/26/2014,17154,17923.00,17923.00,17000.00,3.37M,1.83%
2/27/2014,16692,17231.00,17462.00,16692.00,1.45M,-2.69%
2/28/2014,16385,16769.00,16846.00,16308.00,1.62M,-1.84%
3/3/2014,15538,16231.00,16308.00,15462.00,2.49M,-5.17%
3/4/2014,15385,15385.00,15462.00,15308.00,2.17M,-0.98%
3/5/2014,15385,15538.00,15692.00,15385.00,865.05K,0.00%
3/6/2014,15462,15385.00,15538.00,15308.00,2.31M,0.50%
3/7/2014,16000,15692.00,16231.00,15615.00,1.87M,3.48%
3/10/2014,16000,16000.00,16154.00,15923.00,1.27M,0.00%
3/11/2014,15769,16000.00,16000.00,15769.00,1.36M,-1.44%
3/12/2014,15692,16000.00,16000.00,15615.00,1.27M,-0.49%
3/13/2014,15769,15615.00,15769.00,15538.00,706.19K,0.49%
3/14/2014,15692,15769.00,15846.00,15615.00,666.34K,-0.49%
3/17/2014,15308,15385.00,15615.00,15231.00,1.89M,-2.45%
3/18/2014,15154,15154.00,15308.00,15077.00,1.16M,-1.01%
3/19/2014,15385,15154.00,15462.00,15154.00,1.66M,1.52%
3/20/2014,15385,15385.00,15462.00,15308.00,3.01M,0.00%
3/21/2014,15385,15462.00,16154.00,15385.00,10.45M,0.00%
3/24/2014,16077,16154.00,16154.00,15923.00,1.76M,4.50%
3/25/2014,16231,16154.00,16462.00,16077.00,2.74M,0.96%
3/26/2014,15462,16308.00,16308.00,15462.00,1.82M,-4.74%
3/27/2014,15615,15538.00,15615.00,15385.00,1.13M,0.99%
3/28/2014,15615,15615.00,15615.00,15385.00,1.66M,0.00%
3/31/2014,15308,15462.00,15615.00,15308.00,1.03M,-1.97%
4/1/2014,15077,15231.00,15308.00,15000.00,1.09M,-1.51%
4/2/2014,15077,15077.00,15154.00,14846.00,1.68M,0.00%
4/3/2014,15154,15000.00,15308.00,15000.00,274.96K,0.51%
4/4/2014,15154,15154.00,15231.00,14923.00,740.26K,0.00%
4/7/2014,15000,15077.00,15077.00,15000.00,252.29K,-1.02%
4/8/2014,14923,15000.00,15000.00,14923.00,697.35K,-0.51%
4/10/2014,15154,14923.00,15154.00,14923.00,490.45K,1.55%
4/11/2014,14923,14923.00,15077.00,14923.00,671.91K,-1.52%
4/14/2014,14923,14923.00,15154.00,14923.00,368.68K,0.00%
4/15/2014,14923,15000.00,15000.00,14846.00,531.86K,0.00%
4/16/2014,14615,14692.00,14923.00,14615.00,608.97K,-2.06%
4/17/2014,14923,14923.00,14923.00,14692.00,524.55K,2.11%
4/18/2014,14692,14923.00,14923.00,14692.00,757.87K,-1.55%
4/21/2014,14846,14692.00,14923.00,14692.00,714.29K,1.05%
4/22/2014,15000,14923.00,15000.00,14846.00,658.15K,1.04%
4/23/2014,15538,15000.00,15615.00,15000.00,873.25K,3.59%
4/24/2014,15462,15538.00,15692.00,15462.00,458.89K,-0.49%
4/25/2014,15462,15538.00,15538.00,15231.00,708.23K,0.00%
4/28/2014,14923,15308.00,15462.00,14923.00,415.23K,-3.49%
4/29/2014,15154,14846.00,15154.00,14846.00,238.19K,1.55%
5/5/2014,14923,15077.00,15077.00,14846.00,567.81K,-1.52%
5/6/2014,14769,14692.00,14923.00,14692.00,619.45K,-1.03%
5/7/2014,14923,14692.00,15000.00,14692.00,291.14K,1.04%
5/8/2014,14538,14769.00,14769.00,14308.00,2.48M,-2.58%
5/9/2014,14615,14462.00,14923.00,14462.00,573.21K,0.53%
5/12/2014,14231,14308.00,14538.00,14154.00,870.39K,-2.63%
5/13/2014,14231,14000.00,14308.00,14000.00,544.28K,0.00%
5/14/2014,14769,14231.00,14769.00,14154.00,882.10K,3.78%
5/15/2014,14615,14769.00,14846.00,13769.00,751.24K,-1.04%
5/16/2014,14000,14077.00,14154.00,13846.00,3.39M,-4.21%
5/19/2014,14000,13846.00,14000.00,13846.00,1.41M,0.00%
5/20/2014,14000,13923.00,14077.00,13923.00,1.38M,0.00%
5/21/2014,14154,14000.00,14154.00,13923.00,1.10M,1.10%
5/22/2014,14077,14077.00,14154.00,14000.00,548.67K,-0.54%
5/23/2014,14077,14000.00,14077.00,13923.00,667.15K,0.00%
5/26/2014,14077,14077.00,14077.00,13923.00,857.27K,0.00%
5/27/2014,14462,14077.00,14538.00,14000.00,2.64M,2.73%
5/28/2014,15385,14462.00,15385.00,14462.00,5.62M,6.38%
5/29/2014,15692,15385.00,16000.00,15385.00,4.90M,2.00%
5/30/2014,15769,15769.00,15923.00,15538.00,4.28M,0.49%
6/2/2014,15308,15385.00,15615.00,15154.00,2.08M,-2.92%
